profile_class,profile_name,atlas_axis,atlas_domain_ids,source_systems,relation_state,capability_effect,authority_effect,notes
Domain,Education,DOMAIN,D900,SRC-ISCEDF13|SRC-ISCO08|SRC-ESCO121,CROSSWALKED,NONE,NONE,"Existing DIO domain profile projected into ATLAS domain family."
Domain,Research,DOMAIN,D1100|D704,SRC-FORD15|SRC-ISCEDF13|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Domain,Workforce & Achievement,DOMAIN,D1506|D1707,SRC-ISCO08|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Domain,Procurement & Third Party,DOMAIN,D711|D1507|D1717,SRC-CPC3|SRC-ISCO08|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Domain,Grants & Programmes,DOMAIN,D1701|D1309|D1601,SRC-DIO-META|SRC-COFOG99,CROSSWALKED,NONE,NONE,
Domain,AI Governance,DOMAIN,D1713|D508,SRC-DIO-META|SRC-ESCO121|SRC-IPC202601,CROSSWALKED,NONE,NONE,
Domain,Cybersecurity,DOMAIN,D509,SRC-ESCO121|SRC-ISCO08|SRC-IPC202601,CROSSWALKED,NONE,NONE,
Domain,Financial Services,DOMAIN,D600,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,CROSSWALKED,NONE,NONE,
Domain,Quality & Certification,DOMAIN,D713|D1704,SRC-ISCO08|SRC-ESCO121|SRC-CPC3,CROSSWALKED,NONE,NONE,
Domain,Life Sciences,DOMAIN,D1000|D1010|D1011,SRC-ICD11|SRC-FORD15|SRC-IPC202601,CROSSWALKED,NONE,NONE,
Domain,Engineering & Asset Ops,DOMAIN,D1200|D309,SRC-FORD15|SRC-IPC202601|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Domain,Professional / Matter Ops,DOMAIN,D700|D701,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,CROSSWALKED,NONE,NONE,
Domain,Public Administration,DOMAIN,D800,SRC-COFOG99|SRC-ISCO08,CROSSWALKED,NONE,NONE,
Domain,Document & Publishing,DOMAIN,D1709|D500|D501,SRC-CPC3|SRC-ISCO08|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Domain,Market & Demand,DOMAIN,D1710|D706|D1504,SRC-DIO-META|SRC-CPC3|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Framework,Curriculum / CAPS,CONSTRAINT,D900|D902,SRC-ISCEDF13|SRC-DIO-META,CROSSWALKED,NONE,NONE,"Framework profile constrains a job; it is not a capability."
Framework,Institutional assessment policy,CONSTRAINT,D900|D904,SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Accreditation,CONSTRAINT,D907|D1703,SRC-ISCEDF13|SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Promotion / competency,CONSTRAINT,D1506|D1707,SRC-ESCO121|SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Tender / RFP,CONSTRAINT,D1702|D711,SRC-CPC3|SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Grant / donor,CONSTRAINT,D1701|D1309,SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Vendor questionnaire / control,CONSTRAINT,D1717|D1507,SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,AI governance,CONSTRAINT,D1713|D508,SRC-DIO-META|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Framework,Cyber control,CONSTRAINT,D509|D1719,SRC-DIO-META|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Framework,DORA third-party,CONSTRAINT,D601|D1717,SRC-DIO-META,CROSSWALKED,NONE,NONE,"Exact regulatory interpretation remains source/profile and professional validation bound."
Framework,QMS / certification,CONSTRAINT,D713|D1704,SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Permit / licence,CONSTRAINT,D811,SRC-COFOG99|SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Contract / engagement,CONSTRAINT,D1508|D1706,SRC-CPC3|SRC-DIO-META,CROSSWALKED,NONE,NONE,
Framework,Document style / terminology,CONSTRAINT,D1709|D1403,SRC-DIO-META|SRC-ESCO121,CROSSWALKED,NONE,NONE,
Framework,Market experiment,CONSTRAINT,D1710,SRC-DIO-M2|SRC-DIO-META,CROSSWALKED,NONE,NONE,
Authority,Human decision,CONSTRAINT,D1700,SRC-DIO-M1|SRC-DIO-M2,CROSSWALKED,NONE,NONE,"Authority profile describes the required decision owner; ATLAS never mints it."
Authority,Valinor capability,CONSTRAINT,D1700,SRC-DIO-M1|SRC-DIO-M2,CROSSWALKED,NONE,NONE,"Capability lease remains kernel-governed."
Authority,ARDA execution identity,CONSTRAINT,D1700,SRC-DIO-M1|SRC-DIO-M2,CROSSWALKED,NONE,NONE,"Execution identity is not business judgment."
Connector,Microsoft 365,CONNECTOR,D1700,SRC-DIO-META,CROSSWALKED,NONE,NONE,"Connector availability does not authorize send/write side effects."
Connector,Repository / CI,CONNECTOR,D505|D1718,SRC-DIO-META,CROSSWALKED,NONE,NONE,
Connector,LMS / Education,CONNECTOR,D900,SRC-DIO-META,CROSSWALKED,NONE,NONE,
Connector,Business-system exports,CONNECTOR,D1500,SRC-DIO-META,CROSSWALKED,NONE,NONE,"Read-first connector semantics preserved."
Output,Evidence Pack,ARTIFACT,D1712,SRC-DIO-META,CROSSWALKED,NONE,NONE,"Artifact/output profile not a capability grant."
Output,Assurance / Proof Room,ARTIFACT,D1712|D1716,SRC-DIO-META,CROSSWALKED,NONE,NONE,
Output,Multi-format Publication,ARTIFACT,D1709,SRC-DIO-META|SRC-CPC3,CROSSWALKED,NONE,NONE,
Commercial,Service / Pack,COMMERCIAL,D1710,SRC-DIO-M2|SRC-DIO-META,CROSSWALKED,NONE,NONE,"Commercial policy does not change product maturity or authority."
Commercial,Institution / Team,COMMERCIAL,D1710,SRC-DIO-M2|SRC-DIO-META,CROSSWALKED,NONE,NONE,
Commercial,Continuous Subscription,COMMERCIAL,D1710|D1719,SRC-DIO-M2|SRC-DIO-META,CROSSWALKED,NONE,NONE,"Repeatability must be proven before scale claims."
