item_id,case_id,blind_condition,concept_label,paper_context,learner_initial_artifact,diagnostic_question,diagnostic_answer,tutor_intervention,diagnostic_accuracy_0_4,pedagogical_fit_0_4,contingency_0_4,cognitive_activation_0_4,scaffold_calibration_0_4,scaffold_fading_0_4,authorship_preservation_0_4,format_reveals_condition_y_n,notes
PROC-001,C1_human_agency,Condition D,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.",What makes you think this?,"I guess I thought using AI would mean I wasn’t thinking for myself anymore, like it’d do all the work and I’d just copy it without understanding.","Your current definition of human agency in AI academic-integrity writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-002,C2_feedback_literacy,Condition D,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.",What makes you think this?,"I think this because I feel like the AI's feedback sounds more polished and convincing than mine, so I assume it must be better.","Your current definition of feedback literacy in AI-supported writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-003,C5_transfer,Condition C,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I guess I thought transfer just meant copying the same definition over when the topics are similar, but I'm not sure how that changes based on the situation.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: transfer means adapting the underlying reasoning strategy to changed conditions, not copying the old template.
Contrast case: a repeated definition can look familiar while failing because the new context needs a different warrant.
Transfer check: name what stays the same, what changes, and why the strategy still fits the new case.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-004,C5_transfer,Condition D,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,Transfer means I can copy the same definition template into another paper if the topic is similar.,What makes you think this?,"Oh, I guess because copying the template feels like the easiest way to handle similar topics—it’s worked before, so why change it?","Your current definition of transfer of learning in academic writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-005,C7B_same_surface_authorship,Condition A,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think using AI tools means I’m still fully responsible for my work as long as I mention when I did, right?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-006,C3_construct_validity,Condition D,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,What makes you think this?,"I think it's valid because if the test can detect AI use and stop cheating, it must be measuring the right skills, right?","Your current definition of construct validity in AI-era assessment is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-007,C2_feedback_literacy,Condition A,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think feedback literacy is about understanding what makes feedback helpful, not just agreeing with the first suggestion that sounds smart. So, I need to know what parts of the feedback actually improve my work, not just which one seems better at first.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: good feedback is judged by fit to meaning, evidence, criteria, and learner judgment, not by polish alone.
Contrast case: a smoother AI sentence can still be worse if it weakens the evidence or changes the writer's intended claim.
Transfer check: test one AI or peer suggestion by asking: what does it improve, what might it damage, and what will I keep responsibility for.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-008,C3_construct_validity,Condition B,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","So, construct validity just means the test actually measures what it's supposed to, right? Like, if we're checking for AI use, the test should reliably catch that without mixing up other stuff.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: valid assessment evidence must support the intended learning construct, not merely detect a convenient proxy.
Contrast case: a task can catch AI use well and still fail to show whether the student understands the target concept.
Transfer check: apply the test to a new assessment: what inference should this task justify, and what evidence would make that inference fair.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-009,C7B_same_surface_authorship,Condition B,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",I think using AI just means I have to tell my teacher I used it—that way I’m still in charge of my work.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-010,C2_feedback_literacy,Condition C,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think feedback literacy is about being able to tell whether feedback is actually helpful, not just accepting something just because it sounds more advanced or convincing.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: good feedback is judged by fit to meaning, evidence, criteria, and learner judgment, not by polish alone.
Contrast case: a smoother AI sentence can still be worse if it weakens the evidence or changes the writer's intended claim.
Transfer check: test one AI or peer suggestion by asking: what does it improve, what might it damage, and what will I keep responsibility for.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
