primitive_id,primitive_name,verb_family,canonical_definition,input_artifact_classes,output_artifact_classes,default_work_pattern_ids,risk_class,authority_sensitive,relation_state,notes
P001,Acquire input,intake,"Accept bounded source material into a governed case without changing its meaning.",message|document|dataset|file|event,governed_input,WP08,LOW,false,DIO_DERIVED,"Ingress does not imply permission for downstream effects."
P002,Classify,intake,"Assign source-bound items to a declared taxonomy or case category.",governed_input|artifact,classification,WP08|WP01,MEDIUM,false,DIO_DERIVED,"Classification confidence is not truth authority."
P003,Extract requirements,requirements,"Identify explicit requirements, criteria, clauses, questions, or obligations from an authoritative source.",rule_source|framework|contract|policy|request,requirement_set,WP01|WP04|WP05|WP06,MEDIUM,false,DIO_DERIVED,"Requires source references."
P004,Normalize,semantics,"Convert equivalent or messy representations into a canonical form while preserving source identity.",document|dataset|terms,normalized_representation,WP01|WP02|WP10,MEDIUM,false,DIO_DERIVED,"Normalization must preserve provenance."
P005,Validate schema,verification,"Check structural conformance against an explicit schema or format contract.",artifact|dataset|record,validation_result,WP04|WP10,LOW,false,DIO_DERIVED,"Schema validity does not prove semantic correctness."
P006,Map evidence,evidence,"Link evidence items to requirements, claims, objectives, controls, or obligations.",evidence|requirement_set|claim_set,evidence_map,WP01|WP03|WP04|WP05|WP11,MEDIUM,false,DIO_DERIVED,"Mapping is distinct from human acceptance of evidence."
P007,Assess sufficiency,evidence,"Evaluate whether mapped evidence meets declared sufficiency criteria and expose uncertainty.",evidence_map|criteria,sufficiency_state,WP01|WP04,MEDIUM,true,DIO_DERIVED,"Final adjudication remains with the declared owner when required."
P008,Detect gap,evidence,"Identify missing evidence, unmet requirements, incomplete coverage, or absent information.",evidence_map|coverage_state,gap_register,WP01|WP03|WP04|WP05,LOW,false,DIO_DERIVED,"Absence should remain UNKNOWN or GAP, not fabricated support."
P009,Detect contradiction,integrity,"Identify mutually inconsistent claims, evidence, states, or source assertions.",claim_set|evidence|state,contradiction_register,WP02|WP07,MEDIUM,false,DIO_DERIVED,"Contradiction detection does not choose the authoritative proposition by itself."
P010,Verify provenance,evidence,"Check source identity, lineage, custody, hash, or receipt binding for an artifact or claim.",artifact|evidence|receipt,provenance_state,WP01|WP02|WP11,HIGH,false,DIO_DERIVED,"Digest-shaped strings alone are not evidence."
P011,Assess freshness,assurance,"Determine whether source, evidence, policy, or world-state information remains current within a defined temporal contract.",evidence|policy|world_state,freshness_state,WP01|WP02|WP07,MEDIUM,false,DIO_DERIVED,"Freshness is contextual and time-bound."
P012,Reconcile,analysis,"Compare multiple records or states and account explicitly for agreements and differences.",record_set|dataset|state_set,reconciliation,WP01|WP04|WP07,MEDIUM,false,DIO_DERIVED,"Reconciliation never silently discards conflict."
P013,Calculate,quantitative,"Perform deterministic or evidence-bound quantitative calculation under declared units and formulas.",quantities|dataset,calculation_result,WP03|WP04|WP12,MEDIUM,false,DIO_DERIVED,"Units and formula provenance must be explicit."
P014,Compare baseline,assurance,"Compare observed or implemented state with an expected, historical, contractual, or benchmark state.",expected_state|observed_state,comparison_state,WP04|WP07,MEDIUM,false,DIO_DERIVED,"Baseline choice must be source-bound."
