seed_id,source_id,organisation_name,url,capital_types,geographies,themes,evidence_role
CAP-SEED-001,SRC-FIRST-PARTY-PROGRAMME,Technology Innovation Agency,https://www.tia.org.za/funding-instruments/,GRANT|ACCELERATOR,ZA|AFRICA,technology|commercialisation|research|innovation,OFFICIAL_PAGE_SEED
CAP-SEED-002,SRC-FIRST-PARTY-PROGRAMME,Technology Innovation Agency,https://www.tia.org.za/how-to-apply/,GRANT|ACCELERATOR,ZA|AFRICA,technology|commercialisation|application,OFFICIAL_PAGE_SEED
CAP-SEED-003,SRC-FIRST-PARTY-PROGRAMME,Department of Trade Industry and Competition,https://www.thedtic.gov.za/financial-and-non-financial-support/incentives/,GRANT|SPONSOR,ZA|AFRICA,innovation|industrial|commercialisation,OFFICIAL_PAGE_SEED
CAP-SEED-004,SRC-FIRST-PARTY-PROGRAMME,Industrial Development Corporation,https://www.idc.co.za/,INVESTOR|GRANT,ZA|AFRICA,industrial|technology|development,OFFICIAL_PAGE_SEED
CAP-SEED-005,SRC-FIRST-PARTY-PROGRAMME,SA SME Fund,https://sasmefund.co.za/,INVESTOR|ACCELERATOR,ZA|AFRICA,startup|venture|technology,OFFICIAL_PAGE_SEED
CAP-SEED-006,SRC-FIRST-PARTY-PROGRAMME,Google for Startups South Africa,https://startup.google.com/programs/accelerator/south-africa/,ACCELERATOR|GRANT,ZA|AFRICA,ai|startup|technology|growth,OFFICIAL_PAGE_SEED
CAP-SEED-007,SRC-FIRST-PARTY-PROGRAMME,Y Combinator,https://www.ycombinator.com/apply,ACCELERATOR|INVESTOR,GLOBAL,startup|software|ai|venture,OFFICIAL_PAGE_SEED
CAP-SEED-008,SRC-FIRST-PARTY-PROGRAMME,Techstars,https://www.techstars.com/accelerators,ACCELERATOR|INVESTOR,GLOBAL,startup|technology|venture,OFFICIAL_PAGE_SEED
CAP-SEED-009,SRC-FIRST-PARTY-PROGRAMME,Antler,https://www.antler.co/,ACCELERATOR|INVESTOR,GLOBAL,startup|technology|venture,OFFICIAL_PAGE_SEED
CAP-SEED-010,SRC-FIRST-PARTY-PROGRAMME,Seedstars,https://www.seedstars.com/,ACCELERATOR|INVESTOR,AFRICA|GLOBAL,startup|emerging_markets|technology,OFFICIAL_PAGE_SEED
