source_id,source_name,source_class,custodian,jurisdiction,coverage_geographies,coverage_domains,coverage_capital_types,entity_types,access_mode,status,machine_format,canonical_url,scheduled_enabled,on_demand_enabled,route_discovery_allowed,person_discovery_allowed,historical_awards_available,live_opportunities_available,rate_budget,freshness_ttl_hours,reverification_ttl_hours,terms_policy_note
SRC-FIRST-PARTY-PROGRAMME,First-party fund and programme pages,FIRST_PARTY_PROGRAMME,Public organisations,GLOBAL,ZA|AFRICA|GLOBAL,ATLAS_ANY,INVESTOR|GRANT|DONOR|SPONSOR|PATRONAGE|ACCELERATOR|PRIZE,ORGANISATION|PERSON|OPPORTUNITY,MANUAL_IMPORT,READY,HTML,,false,true,true,true,true,true,100,24,168,Public-page normalization is executable from supplied lawful search evidence; no autonomous browser/search authority is implied
SRC-INVESTOR-PUBLIC-WEB,Public investor thesis portfolio and team pages,INVESTOR_ECOSYSTEM,Public investment organisations,GLOBAL,ZA|AFRICA|GLOBAL,ATLAS_ANY,INVESTOR,ORGANISATION|PERSON|OPPORTUNITY,MANUAL_IMPORT,READY,HTML,,false,true,true,true,true,true,100,24,168,Public-page normalization only; no private contact inference and no autonomous browser/search authority
SRC-PHILANTHROPY-PUBLIC-WEB,Public philanthropy and foundation programme pages,PHILANTHROPY,Public foundations and grantmakers,GLOBAL,ZA|AFRICA|GLOBAL,ATLAS_ANY,GRANT|DONOR|SPONSOR,ORGANISATION|PERSON|OPPORTUNITY,MANUAL_IMPORT,READY,HTML,,false,true,true,true,true,true,100,24,168,Public-page normalization only; programme and route facts require explicit source evidence
SRC-PATRONAGE-PUBLIC-WEB,Public patronage and open support pages,PATRONAGE,Public patronage platforms and projects,GLOBAL,ZA|AFRICA|GLOBAL,ATLAS_ANY,PATRONAGE|SPONSOR,ORGANISATION|PERSON|OPPORTUNITY,MANUAL_IMPORT,READY,HTML,,false,true,true,true,true,true,75,24,168,Public-page normalization only; patronage is not investment
SRC-GRANTS-GOV,Grants.gov public opportunity data,OPEN_FUNDING_DATA,US General Services Administration,US,GLOBAL,ATLAS_ANY,GRANT,ORGANISATION|OPPORTUNITY,API,READY,JSON,https://www.grants.gov/,true,true,true,false,false,true,60,12,72,Executable public-data adapter implemented; runtime source health must still record network/schema failures
SRC-CORDIS,CORDIS projects and participating organisations,OPEN_FUNDING_DATA,European Commission,EU,GLOBAL,ATLAS_ANY,GRANT|PRIZE|ACCELERATOR,ORGANISATION|OPPORTUNITY|RELATIONSHIP,API,READY,JSON|CSV,https://cordis.europa.eu/,true,true,false,false,true,true,60,24,168,Executable public-data adapter implemented; historical awards remain evidence and never future funding intent
SRC-360GIVING,360Giving and GrantNav open grants data,OPEN_FUNDING_DATA,360Giving,UK,GLOBAL,ATLAS_ANY,GRANT|DONOR,ORGANISATION|OPPORTUNITY|RELATIONSHIP,API,READY,CSV|JSON,https://www.360giving.org/,true,true,false,false,true,true,40,24,168,Executable open-data adapter implemented; runtime source health must record network/schema failures
SRC-CROSSREF-FUNDERS,Crossref funder identities and funding metadata,OPEN_FUNDING_DATA,Crossref,GLOBAL,GLOBAL,ATLAS_ANY,GRANT|DONOR|SPONSOR,ORGANISATION|RELATIONSHIP,API,READY,JSON,https://www.crossref.org/services/funder-registry/,true,true,false,false,true,false,60,168,720,Executable public funder identity adapter implemented; identity does not prove funding intent
SRC-USASPENDING,USAspending public awards data,OPEN_FUNDING_DATA,US Department of the Treasury,US,GLOBAL,ATLAS_ANY,GRANT|SPONSOR,ORGANISATION|OPPORTUNITY|RELATIONSHIP,API,READY,JSON,https://www.usaspending.gov/,true,true,false,false,true,true,60,24,168,Executable public awards adapter implemented; awards are historical evidence not open-grant assertions
SRC-PROPUBLICA-NONPROFITS,ProPublica Nonprofit Explorer,OPEN_FUNDING_DATA,ProPublica,US,GLOBAL,ATLAS_ANY,GRANT|DONOR|SPONSOR,ORGANISATION|RELATIONSHIP,API,READY,JSON,https://projects.propublica.org/nonprofits/,true,true,false,false,true,false,40,168,720,Executable public nonprofit identity adapter implemented; nonprofit identity does not imply donor status
SRC-DIO-INTERNAL,DIO internal prospect market and evidence surfaces,INTERNAL,DIO,GLOBAL,ZA|AFRICA|GLOBAL,ATLAS_ANY,INVESTOR|GRANT|DONOR|SPONSOR|PATRONAGE|ACCELERATOR|PRIZE,ORGANISATION|PERSON|OPPORTUNITY|RELATIONSHIP|ASSERTION,INTERNAL,READY,JSON|CSV|SQLITE,internal://dio-market-evidence,true,true,false,false,true,true,250,24,168,Internal observations remain distinguishable from external public evidence
SRC-COMMERCIAL-DATABASES,Licensed commercial capital databases,INVESTOR_ECOSYSTEM,Third-party licensed providers,GLOBAL,GLOBAL,ATLAS_ANY,INVESTOR|GRANT|DONOR|SPONSOR|ACCELERATOR,ORGANISATION|PERSON|OPPORTUNITY,API,NEEDS_CREDENTIALS,JSON,,false,false,false,false,true,true,0,24,168,Optional enrichment only; no licensed provider is required for census viability
