work_pattern_id,work_pattern_name,canonical_status,canonical_transformation,primary_meta,primitive_ids,portfolio_source_label,notes
WP01,Evidence work,CANONICAL,"requirement -> supporting evidence -> sufficiency/gaps","Evidence + Room","P003|P004|P006|P007|P008|P010|P011|P042|P043",Evidence,"Broad horizontal evidence pattern."
WP02,Integrity work,CANONICAL,"claim -> source -> warrant/limitation -> contradiction","Evidence + Assurance + Room","P004|P009|P010|P011|P016|P017|P042",Integrity,"Never replaces professional adjudication."
WP03,Achievement work,CANONICAL,"objective/framework -> activity/evidence -> coverage/gaps","Evidence + Room","P006|P008|P013|P031|P032|P042|P043",Achievement,"Framework-to-evidence achievement pattern."
WP04,Quality work,CANONICAL,"rule/standard -> implementation evidence -> nonconformance/gap","Evidence + Assurance + Room","P003|P005|P006|P007|P008|P014|P015|P042|P043",Quality,"Continuous assurance compatible; certification authority remains external."
WP05,Obligation work,CANONICAL,"contract/grant/policy -> obligation/deadline -> evidence/status","Evidence + Assurance + Authority + Room","P003|P006|P008|P026|P027|P028|P040|P042",Obligation,"Deadline and jurisdiction profiles matter."
WP06,Assessment work,CANONICAL,"curriculum/framework -> assessment artefact -> judgement/moderation","Evidence + Assurance + Room","P003|P029|P030|P031|P032|P042|P043",Assessment,"Human academic authority remains explicit."
WP07,Assurance work,CANONICAL,"expected state -> actual state -> drift/challenge -> reassessment","Assurance + Room","P009|P011|P012|P014|P015|P016|P038|P044|P045|P046|P054",Assurance,"May recommend scrutiny or hold; never self-authorizes enforcement."
WP08,Intake work,CANONICAL,"messy inbound communication -> classified governed case -> missing info","Evidence + Authority","P001|P002|P024|P025|P042|P052",Intake,"Presence is ingress/egress, not sovereignty."
WP09,Authority work,CANONICAL,"proposed action -> prerequisites -> human authority -> bounded execution","Authority + Assurance + Room","P028|P040|P041|P042|P052|P054",Authority,"Highest-risk reusable pattern."
WP10,Document work,CANONICAL,"approved meaning -> edit/translate/project -> QA -> release","Evidence + Assurance + Room","P017|P018|P019|P020|P021|P022|P023|P042|P050|P053",Document,"Meaning remains versioned and receipted."
WP11,Proof work,CANONICAL,"governed case/history -> portable evidence package -> integrity verification","Room + Assurance","P006|P010|P021|P022|P042|P043|P050",Proof,"Portable proof is a distribution layer."
WP12,Market work,CANONICAL,"signal -> hypothesis -> bounded experiment -> measured outcome -> learning","Evidence + Assurance + Authority","P013|P033|P034|P035|P036|P037|P038|P039|P044|P051|P056",Market,"Learn from qualified outcomes, not vanity metrics."
WP13,Learning work,CANDIDATE_EXTENSION,"observation/evidence -> interpreted lesson -> scoped candidate update","Evidence + Assurance","P034|P036|P038|P039|P042|P047|P048|P049|P053|P054|P055|P056",Learning,"The existing DIO META portfolio uses the label Learning in incarnation rows but does not define it among the canonical twelve. ATLAS records the gap explicitly rather than rewriting history."
