title,phase,subject_family,language_guess,recommended_blueprint,signals_source_based,signals_essay_or_extended_response,signals_case_study,signals_data_graph_diagram,signals_practical_investigation,signals_project_or_sba,signals_oral_or_performance,signals_calculation_problem,signals_formal_test_or_exam,path,sha256
Accounting,fet_grade_10_12,commerce,Unknown,case_study_structured_questions,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_accounting_gr_10-12_web_cab3.pdf,b245128f319c541660444953a70887cf70f43f3cb3611746af5f258af306c546
Afrikaans,fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,True,True,True,True,False,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_fal_afrikaans_gr_10-12_web_9455.pdf,190c1ae0eb05597c029bfe6592d3a8786c8c170b2c5f1f35b06e00e64e32f92f
Afrikaans,fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,True,True,True,True,False,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_sal_web_e3dc.pdf,f9c4df86365036b19e5fe17c41a9160804508a54c230c271849fac8fcd6fba15
Afrikaans,fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,True,True,True,True,False,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_home_afrikaans_gr_10-12_web_0544.pdf,30161db5898be3393d031e51094752669fdd8a5748420ada2d1785c16865ce0f
Agricultural Management Practices,fet_grade_10_12,other,Unknown,practical_investigation,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_agri_management_practices_gr_10-12_web_b373.pdf,cd48234a652b25e22d1d93f5fab49b1b3f77f2f56cb9618531b1b6bc3868a740
Agricultural Science,fet_grade_10_12,science,Unknown,data_diagram_practical_investigation,True,False,False,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_agricultural_science_web_1cc4.pdf,cf42784e2372de68e29c6e3e69bbb34401e368f72e30d5e860c04856dbd8f2f0
Agricultural Technology,fet_grade_10_12,technology,Unknown,practical_project_design_task,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_agricultural_technology_web_2af0.pdf,b35179f225c2d8fe0b7e3c32fd77da7d306410c6ea2615241c43489e3a19f333
Besigheid studies (Business Studies),fet_grade_10_12,commerce,Afrikaans,case_study_structured_questions,False,False,True,True,True,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_besigheidstudies_gr_10-12_web.pdf,e96c028d658d4fd90b483212e70b082f2c0043ac8e21e1f810b667b843167cbe
Business Studies,fet_grade_10_12,commerce,Unknown,case_study_structured_questions,True,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_business_studies_gr_10-12_web_0ca7.pdf,e6f0a21b96fa87ccfccb732a9240a579bf0157916b86a1cdd98a2876cf76db27
Civil Technology,fet_grade_10_12,technology,Unknown,practical_project_design_task,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_civil_technology_gr_10-12_web_abb6.pdf,33a64e27aeced89a3b214a8482444ac6f2b22878fc095076e1e3bba1b8bae132
