domain_id,parent_domain_id,domain_family,domain_name,domain_type,source_systems,source_crosswalk_state,default_work_pattern_ids,default_artifact_classes,default_constraint_classes,professional_authority_required,safety_criticality,atlas_status
D000,,ROOT,Human work and knowledge,ROOT,SRC-ISIC5|SRC-CPC3|SRC-ISCO08|SRC-ESCO121|SRC-ISCEDF13|SRC-FORD15|SRC-IPC202601|SRC-ICD11|SRC-AGROVOC|SRC-COFOG99,FEDERATION_ENVELOPE,,,provenance|world_state,false,VARIABLE,FEDERATION_ROOT
D100,D000,PRIMARY,Primary industries and natural resources,FAMILY,SRC-ISIC5|SRC-AGROVOC|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,records|permits|inspections,safety|environment|jurisdiction,true,HIGH,FEDERATION_SEED
D101,D100,PRIMARY,Agriculture,DOMAIN,SRC-ISIC5|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,production_records|farm_plan|inspection,food_safety|environment|land_use,true,HIGH,FEDERATION_SEED
D102,D101,PRIMARY,Crop production,SUBDOMAIN,SRC-ISIC5|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,field_records|inputs|yield_data,food_safety|environment,true,HIGH,FEDERATION_SEED
D103,D101,PRIMARY,Horticulture and protected cultivation,SUBDOMAIN,SRC-ISIC5|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,growing_records|quality_records,food_safety|environment,true,HIGH,FEDERATION_SEED
D104,D101,PRIMARY,Livestock production,SUBDOMAIN,SRC-ISIC5|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,herd_records|health_records,animal_welfare|food_safety,true,VERY_HIGH,FEDERATION_SEED
D105,D101,PRIMARY,Agricultural services and agronomy,SUBDOMAIN,SRC-ISIC5|SRC-AGROVOC|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP10,advice|soil_data|plans,professional_scope|environment,true,HIGH,FEDERATION_SEED
D106,D100,PRIMARY,Forestry,DOMAIN,SRC-ISIC5|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,forest_plan|inventory|permit,environment|land_use|safety,true,HIGH,FEDERATION_SEED
D107,D100,PRIMARY,Fisheries and aquaculture,DOMAIN,SRC-ISIC5|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,catch_records|stock_data|permits,environment|food_safety,true,HIGH,FEDERATION_SEED
D108,D100,PRIMARY,Veterinary services,DOMAIN,SRC-AGROVOC|SRC-ISCO08|SRC-ESCO121|SRC-ICD11,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP04|WP07,clinical_record|lab_result|treatment_plan,professional_license|animal_welfare,true,VERY_HIGH,FEDERATION_SEED
D109,D100,PRIMARY,Mining and quarrying,DOMAIN,SRC-ISIC5|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,permit|inspection|production_record,mine_safety|environment|jurisdiction,true,VERY_HIGH,FEDERATION_SEED
D110,D109,PRIMARY,Mineral exploration,SUBDOMAIN,SRC-ISIC5|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,survey|sample_data|permit,safety|environment|land_rights,true,HIGH,FEDERATION_SEED
D111,D109,PRIMARY,Mining operations and processing,SUBDOMAIN,SRC-ISIC5|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,operational_log|inspection|maintenance,safety|environment|quality,true,VERY_HIGH,FEDERATION_SEED
D200,D000,INDUSTRY,Manufacturing and industrial production,FAMILY,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,production_record|specification|inspection,quality|safety|environment,true,HIGH,FEDERATION_SEED
D201,D200,INDUSTRY,Food and beverage manufacturing,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,recipe|batch_record|quality_record,food_safety|quality,true,VERY_HIGH,FEDERATION_SEED
D202,D200,INDUSTRY,Textiles apparel and leather,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,specification|batch_record|supplier_record,quality|labour|chemical_safety,true,HIGH,FEDERATION_SEED
D203,D200,INDUSTRY,Wood paper and printing,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP10|WP11,specification|publication|production_record,quality|copyright|safety,false,MEDIUM,FEDERATION_SEED
D204,D200,INDUSTRY,Chemicals and materials,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,safety_data|batch_record|specification,chemical_safety|environment|quality,true,VERY_HIGH,FEDERATION_SEED
