template_id,template_name,buyer_job,applicable_domain_families,required_work_pattern_ids,required_primitive_ids,required_specialized_capabilities,input_artifact_classes,output_artifact_class,authority_ceiling,external_effect_intent,base_build_burden,base_validation_burden,commercial_shape,notes
MORPH-001,Evidence Readiness Pack,"prepare a source-bound readiness pack showing requirements evidence gaps and limitations",ALL,"WP01|WP10|WP11","P003|P006|P007|P008|P010|P017|P022|P042|P043|P050|P054|P055",,"requirements|evidence|records|constraints",evidence_readiness_pack,controlled_artifact_only,NONE,1.5,2.0,SERVICE_PACK,"Universal controlled-artifact morphology. Domain expertise is not inferred from the domain label."
MORPH-002,Governed Response Dossier,"prepare a governed response dossier from supplied requirements approved facts evidence and correspondence context",ALL,"WP01|WP10|WP11","P003|P006|P007|P008|P017|P022|P023|P042|P043|P050|P053|P054|P055",,"requirements|approved_facts|evidence|recipient_context",governed_response_dossier,controlled_artifact_only,NONE,1.5,2.0,SERVICE_PACK,"Universal response morphology. Sending/submission remains separately authorized."
MORPH-003,Due Diligence Room,"assemble a traceable diligence room with questions evidence gaps reconciliations and response drafts","FINANCE|PROFESSIONAL|ORGANISATION|COMMERCE|CIVIL|CROSSCUTTING|PUBLIC|INFORMATION","WP01|WP02|WP10|WP11","P003|P006|P007|P008|P010|P012|P017|P022|P023|P042|P043|P050|P054|P055",,"questions|requirements|evidence|records|correspondence",due_diligence_room,controlled_artifact_only,NONE,2.0,2.5,SERVICE_PACK,"Decision/opinion authority remains external."
MORPH-004,Funding and Grant Application Pack,"prepare a controlled funding or grant application pack from eligibility criteria financial readiness evidence narrative and correspondence","PRIMARY|INDUSTRY|INFRASTRUCTURE|PROFESSIONAL|PUBLIC|EDUCATION|HEALTH|SCIENCE|ENGINEERING|SOCIAL|HUMANITIES|ORGANISATION|CIVIL|CROSSCUTTING","WP01|WP05|WP10|WP11","P003|P006|P007|P008|P010|P012|P013|P017|P022|P023|P028|P042|P043|P050|P053|P054|P055",,"funding_call|eligibility|financial_records|evidence|narrative",funding_application_pack,controlled_artifact_only,NONE,2.0,2.5,SERVICE_PACK,"Funding decision and submission authority are never implied."
MORPH-005,Tender and Bid Response Pack,"prepare a compliance-mapped tender or bid response dossier from an RFP supplier evidence financial readiness narrative and correspondence","INDUSTRY|INFRASTRUCTURE|COMMERCE|INFORMATION|FINANCE|PROFESSIONAL|PUBLIC|ENGINEERING|ORGANISATION|CIVIL|CROSSCUTTING","WP01|WP05|WP10|WP11","P003|P006|P007|P008|P010|P012|P013|P017|P022|P023|P028|P042|P043|P050|P053|P054|P055",,"RFP|supplier_evidence|financial_records|requirements|narrative",tender_response_pack,controlled_artifact_only,NONE,2.0,2.75,SERVICE_PACK,"Bid submission and procurement decision remain separately authorized."
MORPH-006,Quality and Certification Readiness Pack,"prepare a quality or certification readiness dossier mapping supplied standards to implementation evidence and gaps","PRIMARY|INDUSTRY|INFRASTRUCTURE|INFORMATION|HEALTH|ENGINEERING|PROFESSIONAL|EDUCATION|ORGANISATION|CROSSCUTTING","WP01|WP04|WP10|WP11","P003|P006|P007|P008|P010|P012|P017|P022|P042|P043|P050|P054|P055",,"standard|procedures|records|evidence",quality_readiness_dossier,controlled_artifact_only,NONE,2.0,3.0,SERVICE_PACK,"Certification decision remains with the competent body."
MORPH-007,Regulatory and Permit Readiness Pack,"prepare a regulatory or permit readiness dossier against supplied rules and evidence while preserving legal and professional decision boundaries","PRIMARY|INDUSTRY|INFRASTRUCTURE|FINANCE|PROFESSIONAL|PUBLIC|HEALTH|ENGINEERING|CROSSCUTTING","WP01|WP05|WP09|WP10|WP11","P003|P006|P007|P008|P010|P017|P022|P023|P028|P042|P043|P050|P054|P055","regulated_domain_interpretation","rule_source|permit_requirements|evidence|application_material",regulatory_readiness_dossier,controlled_artifact_only,NONE,2.5,4.0,SERVICE_PACK,"Generic mechanics may transfer; regulated interpretation is explicitly missing unless separately proved."
MORPH-008,Contract Milestone Proof Pack,"prepare a contract milestone evidence pack showing obligations deliverables evidence status gaps and correspondence","INDUSTRY|INFRASTRUCTURE|COMMERCE|FINANCE|PROFESSIONAL|PUBLIC|ORGANISATION|CIVIL|CROSSCUTTING","WP01|WP05|WP10|WP11","P003|P006|P007|P008|P010|P012|P017|P022|P023|P028|P042|P043|P050|P053|P054|P055",,"contract|milestones|deliverables|evidence|correspondence",contract_milestone_proof_pack,controlled_artifact_only,NONE,1.75,2.5,SERVICE_PACK,"Legal discharge/acceptance of obligation is not claimed."
MORPH-009,Publication and Briefing Pack,"turn approved source material into a traceable briefing or publication package with provenance and output QA","INFORMATION|PROFESSIONAL|PUBLIC|EDUCATION|HEALTH|SCIENCE|ENGINEERING|SOCIAL|HUMANITIES|ORGANISATION|CIVIL|CROSSCUTTING","WP02|WP10|WP11","P010|P017|P018|P019|P021|P022|P042|P043|P050|P053|P054",,"approved_sources|source_material|semantic_units|output_profile",publication_briefing_pack,controlled_artifact_only,NONE,1.5,2.25,SERVICE_PACK,"External publication remains separately authorized."
MORPH-010,Research Evidence Landscape,"prepare a research evidence landscape with provenance mapping contradiction challenge narrative synthesis and limitations","INFORMATION|PROFESSIONAL|EDUCATION|HEALTH|SCIENCE|ENGINEERING|SOCIAL|HUMANITIES|CROSSCUTTING","WP01|WP02|WP07|WP10|WP11","P003|P006|P008|P009|P010|P016|P017|P018|P022|P042|P043|P050|P053|P054|P055","research_method_validation","research_question|sources|claims|evidence",research_evidence_landscape,controlled_artifact_only,NONE,2.5,3.5,SERVICE_PACK,"Contradiction/adversarial research-integrity mechanics are not yet in the M1 execution-grade set."
