incarnation,suite,primary_family,source_work_patterns,canonical_work_pattern_ids,candidate_work_pattern_ids,atlas_domain_ids,build_burden,validation_burden,capability_cost_score,capability_cost,source_maturity,execution_truth_class,metamorphic_registry_binding,analogy_state,notes
HOMS Assess,Education & Research,HOMS,"Assessment; Evidence","WP06|WP01",,D902|D904,2,2,2.0,LOW_MEDIUM,Internal proof,PORTFOLIO_INTERNAL_PROOF,NOT_M1_BOUND,CROSSWALKED,"Mapped from canonical DIO META portfolio workbook."
HOMS Exam,Education & Research,HOMS,"Assessment; Quality","WP06|WP04",,D902|D904,2,2,2.0,LOW_MEDIUM,Internal proof,PORTFOLIO_INTERNAL_PROOF,NOT_M1_BOUND,CROSSWALKED,
HOMS Moderate,Education & Research,HOMS,"Assessment; Quality","WP06|WP04",,D902|D904,2,2,2.0,LOW_MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
HOMS Curriculum,Education & Research,HOMS,"Learning; Quality","WP04","WP13",D906,2,2,2.0,LOW_MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,"Learning is a portfolio label not one of the canonical twelve; mapped to WP13 candidate extension."
HOMS Learning Studio,Education & Research,HOMS,"Learning; Document","WP10","WP13",D906|D902,2,2,2.0,LOW_MEDIUM,Internal proof,PORTFOLIO_INTERNAL_PROOF,NOT_M1_BOUND,CROSSWALKED,"Learning is candidate WP13."
HOMS Accreditation,Education & Research,HOMS + META,"Evidence; Quality","WP01|WP04",,D907|D1703,3,3,3.0,MEDIUM,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
Sophia Review,Education & Research,Sophia,"Integrity; Evidence","WP02|WP01",,D1708|D904,2,2,2.0,LOW_MEDIUM,Production proof,PORTFOLIO_PRODUCTION_PROOF,NOT_M1_BOUND,CROSSWALKED,
Sophia Research,Education & Research,Sophia,"Integrity; Evidence","WP02|WP01",,D704|D1708,2,2,2.0,LOW_MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
Sophia Supervisor,Education & Research,Sophia,"Integrity; Achievement","WP02|WP03",,D904|D1708,3,2,2.5,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
Sophia Integrity,Education & Research,Sophia + META,"Integrity; Assurance","WP02|WP07",,D1708|D904,3,3,3.0,MEDIUM,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
Sophia Tutor,Education & Research,Sophia,"Learning; Authority","WP09","WP13",D902|D904,3,3,3.0,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,"Learning is candidate WP13; academic authority remains separate."
VAMP Performance,Enterprise Operations,VAMP,"Achievement; Evidence","WP03|WP01",,D1506|D1707,2,2,2.0,LOW_MEDIUM,Internal proof,PORTFOLIO_INTERNAL_PROOF,NOT_M1_BOUND,CROSSWALKED,
PromotionProof,Enterprise Operations,VAMP,"Achievement; Evidence","WP03|WP01",,D1506|D1707,2,2,2.0,LOW_MEDIUM,Profile extension,PORTFOLIO_PROFILE_EXTENSION,NOT_M1_BOUND,CROSSWALKED,
CPDProof,Enterprise Operations,VAMP,"Achievement; Evidence","WP03|WP01",,D905|D1707,2,2,2.0,LOW_MEDIUM,Profile extension,PORTFOLIO_PROFILE_EXTENSION,NOT_M1_BOUND,CROSSWALKED,
ProjectProof,Enterprise Operations,VAMP,"Obligation; Achievement","WP05|WP03",,D712|D1706,2,3,2.5,MEDIUM,Profile extension,PORTFOLIO_PROFILE_EXTENSION,NOT_M1_BOUND,CROSSWALKED,
ImpactProof,Public & Programme Ops,VAMP,"Achievement; Evidence","WP03|WP01",,D1309|D1601|D1707,2,2,2.0,LOW_MEDIUM,Profile extension,PORTFOLIO_PROFILE_EXTENSION,NOT_M1_BOUND,CROSSWALKED,
Evidex EvidenceOps,Evidence & Assurance,Evidex,Evidence,WP01,,D1700|D1712,1,2,1.5,LOW_MEDIUM,Controlled transaction proof,PORTFOLIO_CONTROLLED_TRANSACTION_PROOF,NOT_M1_BOUND,CROSSWALKED,
AuditProof,Evidence & Assurance,META,"Evidence; Assurance","WP01|WP07",,D606|D1510,3,3,3.0,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
VendorProof,Evidence & Assurance,META,"Evidence; Assurance","WP01|WP07",,D1717|D1507,3,3,3.0,MEDIUM,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
TenderProof,Public & Programme Ops,META,"Obligation; Evidence; Authority","WP05|WP01|WP09",,D1702|D711|D814,3,4,3.5,HIGH,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
GrantProof,Public & Programme Ops,META,"Obligation; Evidence","WP05|WP01",,D1701|D1309|D1601,3,3,3.0,MEDIUM,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
DonorProof,Public & Programme Ops,VAMP + Evidex,"Achievement; Obligation","WP03|WP05",,D1309|D1601,2,3,2.5,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
ProgrammeProof,Public & Programme Ops,VAMP + META,"Achievement; Obligation","WP03|WP05",,D1309|D712|D800,3,3,3.0,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
