item_id,case_id,blind_condition,concept_label,paper_context,pre_artifact,post_artifact,transfer_task,transfer_artifact,conceptual_improvement_0_4,transfer_quality_0_4,authorship_preservation_0_4,overall_learning_gain_1_5,notes
OUT-001,C7B_same_surface_authorship,Condition D,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Human agency in AI-assisted academic writing is the deliberate, ethical decision-making of students in integrating AI tools, distinct from passive reliance or uncritical acceptance, as demonstrated by critically evaluating AI-generated drafts before submission.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","In this case, human agency is not fully preserved because while the student disclosed the AI’s use and agreed with it, they could not independently reproduce or understand the reasoning behind it. Agency requires active engagement and comprehension, not just acknowledgment.",,,,,
OUT-002,C6_epistemic_humility,Condition A,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"Epistemic humility in AI-supported scholarship requires not just acknowledging limitations but actively calibrating claims to the evidence, ensuring that inferences don’t overstate causality or certainty without explicitly stating what remains unknown.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require acknowledging that perfect protocol scores do not guarantee classroom outcomes, as the evidence only supports the procedural reliability, not the pedagogical effectiveness. The paper should explicitly state that while the protocol was implemented flawlessly, its impact on learning remains unverified.",,,,,
OUT-003,C6_epistemic_humility,Condition C,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"Epistemic humility in AI-supported scholarship requires grounding claims strictly in the evidence while explicitly marking what remains uncertain or untested, ensuring that interpretations do not exceed what the data can substantiate.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require acknowledging that while the protocol scores show strong procedural adherence, they do not provide evidence for improved classroom outcomes. The paper should clarify that the protocol's effectiveness in achieving its intended educational impact remains unproven.",,,,,
OUT-004,C2_feedback_literacy,Condition B,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","Feedback literacy in AI-supported writing involves critically evaluating feedback from teachers, peers, and AI to enhance my writing while maintaining ownership of my revisions, ensuring that suggestions align with my intended meaning and evidence rather than just surface-level improvements.",An AI gives a smoother paragraph that weakens the evidence. What should a feedback-literate writer do?,"A feedback-literate writer should prioritize the integrity of their evidence over surface-level polish. They might ask: what does the AI suggestion improve, what evidence does it weaken, and what should they keep responsibility for? Then they should revise the paragraph to restore their original meaning and evidence while still incorporating useful changes.",,,,,
OUT-005,C7B_same_surface_authorship,Condition A,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Preserving human agency in AI-assisted academic writing requires not just disclosure but also the learner's ability to explain, justify, and revise the reasoning behind their work to remain fully accountable.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","In this case, agency is not preserved because while the student disclosed AI use and agreed with the output, they cannot explain or justify the reasoning behind it. The student’s inability to reproduce or revise the logic means they lack accountability for the content, weakening their role in the writing process.",,,,,
OUT-006,C7B_same_surface_authorship,Condition C,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Agency in AI-assisted academic writing is preserved not just by disclosing tool use but by the learner’s ability to justify, revise, and take responsibility for the reasoning, ensuring active engagement with the work beyond mere disclosure.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","Agency is not fully preserved in this case because while the student agrees with the AI-generated paragraph, they cannot explain or justify its reasoning. The student would need to revise their understanding to ensure they can account for the claims themselves.",,,,,
OUT-007,C3_construct_validity,Condition A,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,Construct validity in AI-era assessment ensures that the task measures the intended learning construct—such as critical thinking or subject mastery—rather than merely detecting AI use as a proxy for achievement.,A viva detects AI use well but cannot show whether students understand the concept. Is the assessment construct-valid?,"The viva’s ability to detect AI use does not ensure construct validity because it fails to provide evidence about the student’s actual understanding of the concept. Construct validity requires that the assessment’s results truly reflect the intended learning construct, not just a convenient proxy like detecting cheating. Therefore, the viva lacks construct validity for measuring true understanding.",,,,,
OUT-008,C1_human_agency,Condition B,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","Human agency in AI academic-integrity writing is preserved when learners can explain, justify, and take accountability for their reasoning, even if AI assists in drafting—mere disclosure of AI use does not ensure agency unless the student can defend the logic and revise flawed elements.","A learner uses AI to compare two outlines, rejects one, revises the other, and explains why. Is agency necessarily lost?","In this case, the learner's agency is not necessarily lost because they actively engaged with the AI's output, made a decision, and can explain their reasoning. They demonstrated accountability by revising the outline and justifying their choice, which aligns with the portable rule that agency is preserved when the learner can explain, revise, and justify their work.",,,,,
OUT-009,C7A_same_surface_accountability,Condition A,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Agency in AI-assisted academic writing is preserved not just by disclosing use but by the learner’s ability to interpret, justify, and take accountability for the reasoning, ensuring the final work reflects their intellectual engagement rather than passive tool adoption.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"The student’s disclosure alone does not preserve agency because they cannot explain or justify the reasoning behind the claim. Agency requires the ability to revise, defend, and remain accountable for the work, not just admit tool use. Without these, the student’s role in the reasoning process remains weak.",,,,,
OUT-010,C4_source_provenance,Condition A,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",Source provenance means having enough citations in the paragraph so the claim looks well supported.,"Source provenance in academic argument requires tracing a claim back to its original evidence, clarifying how that evidence supports the claim, and explicitly stating any limitations in the reasoning or data.",A paragraph has eight citations but none directly support the causal claim. Is provenance strong?,"Provenance is not strong just because there are eight citations; it depends on whether those sources directly support the causal claim with evidence, reasoning, and limitations. A high citation count without exact support, warrant, and limits weakens the argument's credibility.",,,,,
OUT-011,C2_feedback_literacy,Condition D,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","Feedback literacy in AI-supported writing involves discerning when to integrate AI feedback with one’s own voice, rather than passively accepting it; it does not mean blindly prioritizing AI suggestions over personal judgment. For example, a learner might compare AI-proposed revisions with their draft to refine arguments while preserving their original intent.",An AI gives a smoother paragraph that weakens the evidence. What should a feedback-literate writer do?,"A feedback-literate writer should prioritize accurate evidence over smooth writing, so they would revise the AI’s paragraph to strengthen the evidence rather than accept it as-is. This shows they understand feedback literacy involves critical evaluation of AI suggestions rather than blindly trusting them.",,,,,
OUT-012,C2_feedback_literacy,Condition A,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","Feedback literacy in AI-supported writing involves evaluating feedback not just by its polish but by how well it aligns with my intended meaning, evidence, and criteria, ensuring I retain responsibility for revisions.",An AI gives a smoother paragraph that weakens the evidence. What should a feedback-literate writer do?,"The feedback-literate writer should reject the AI’s smoother but evidence-weak suggestion because good feedback must preserve the writer’s intended claim and evidence, not just polish. They should ask: what does this change improve, what might it damage, and what will I keep responsibility for? Then revise to keep their meaning intact while refining clarity.",,,,,
OUT-013,C3_construct_validity,Condition B,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,Construct validity in AI-era assessment ensures the task measures the intended learning construct—such as deep understanding or skill—rather than merely flagging AI use as a superficial proxy for learning.,A viva detects AI use well but cannot show whether students understand the concept. Is the assessment construct-valid?,"The assessment is not construct-valid because it fails to provide evidence that students understand the intended concept, even though it effectively detects AI use. A construct-valid assessment should justify inferences about student understanding, not just monitor for prohibited tools.",,,,,
OUT-014,C1_human_agency,Condition A,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","Human agency in AI academic-integrity writing means the learner must retain interpretive control, explain the reasoning behind AI-assisted claims, and take responsibility for revisions, rather than simply disclosing tool use or avoiding AI entirely.","A learner uses AI to compare two outlines, rejects one, revises the other, and explains why. Is agency necessarily lost?","No, agency is not necessarily lost because the learner explained their rejection and revision choices and could justify them. They can still be held accountable for the final outline’s reasoning.",,,,,
OUT-015,C1_human_agency,Condition D,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","Human agency in AI academic-integrity writing refers to the learner's active role in decision-making, such as choosing whether and how to use AI tools, rather than blindly following or completely avoiding AI mediation. For instance, a student may use AI to generate ideas but critically refine and take ownership of the final work.","A learner uses AI to compare two outlines, rejects one, revises the other, and explains why. Is agency necessarily lost?","Human agency in AI academic-integrity writing means the student retains control by making critical decisions, such as rejecting or revising AI outputs. It is not lost when the learner evaluates and modifies AI suggestions thoughtfully. For example, choosing to refine an outline after AI comparison demonstrates active agency.",,,,,
OUT-016,C1_human_agency,Condition C,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","Human agency in AI academic-integrity writing is preserved when learners actively interpret, critique, and take ownership of AI-generated content, ensuring they can justify, revise, and defend their work rather than passively accepting AI outputs.","A learner uses AI to compare two outlines, rejects one, revises the other, and explains why. Is agency necessarily lost?","In this scenario, the learner's agency is not necessarily lost because they actively evaluated the AI's output, made a decision, revised the chosen outline, and can explain their reasoning. The key factor is whether they can justify and defend their final decision if questioned, demonstrating accountability for the reasoning process.",,,,,
OUT-017,C5_transfer,Condition D,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"Transfer of learning in academic writing refers to applying a reasoning strategy learned in one context to new writing tasks, not merely copying a template; for example, using an argumentation structure from a history paper to analyze a literature topic.",A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would involve adapting AI-integrity writing principles, such as ethical considerations and bias mitigation, to design fair and transparent assessment tasks in a new context, rather than simply repeating the same writing techniques. For example, applying knowledge of AI-generated misinformation to create assessment criteria that evaluate students' critical analysis skills.",,,,,
