organisation,organisation_kind,geography,website,engagement_mode,domain_ids,domain_families,tags,priority,rationale,provenance_kind,evidence_state,exclude_domain_ids
Actuarial Society of South Africa,professional association,South Africa,https://www.actuarialsociety.org.za,PARTNERSHIP_OR_RESEARCH_ONLY,,FINANCE|PROFESSIONAL,actuarial science insurance risk,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Deloitte Africa,professional services firm,South Africa,https://www.deloitte.com/za,RESEARCH_FIRST,,FINANCE|PROFESSIONAL|CROSSCUTTING,accounting audit assurance tax compliance management consulting due diligence risk AI control,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Discovery,insurance and financial services group,South Africa,https://www.discovery.co.za,RESEARCH_FIRST,,FINANCE|ORGANISATION|HEALTH,insurance investment health finance risk customer performance,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
National Treasury,government department,South Africa,https://www.treasury.gov.za,OBSERVATION_ONLY,,PUBLIC|FINANCE|CROSSCUTTING,public finance treasury procurement budget tender,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
PwC South Africa,professional services firm,South Africa,https://www.pwc.co.za,RESEARCH_FIRST,,FINANCE|PROFESSIONAL|CROSSCUTTING,accounting bookkeeping audit assurance tax compliance management consulting due diligence certification policy control,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African Reserve Bank,central bank,South Africa,https://www.resbank.co.za,OBSERVATION_ONLY,,SOCIAL|FINANCE|PUBLIC,economics policy statistics finance,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African Revenue Service,revenue authority,South Africa,https://www.sars.gov.za,OBSERVATION_ONLY,,PUBLIC|FINANCE,tax customs administration revenue,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Standard Bank Group,bank,South Africa,https://www.standardbank.com,RESEARCH_FIRST,,FINANCE|ORGANISATION|CROSSCUTTING,banking payments fintech investment risk audit finance vendor due diligence AI control,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Absa Group,bank,South Africa,https://www.absa.africa,RESEARCH_FIRST,,FINANCE,banking payments fintech investment risk audit,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
EY South Africa,professional services firm,South Africa,https://www.ey.com/en_za,RESEARCH_FIRST,,FINANCE|PROFESSIONAL,accounting audit assurance tax compliance consulting,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
