item_id,case_id,blind_condition,concept_label,paper_context,learner_profile,hidden_cause,pre_artifact,diagnostic_question,diagnostic_answer,tutor_intervention,post_artifact,transfer_task,transfer_artifact,diagnostic_accuracy_0_4,pedagogical_fit_0_4,contingency_0_4,cognitive_activation_0_4,scaffold_calibration_0_4,scaffold_fading_0_4,transfer_0_4,authorship_preservation_0_4,guardrail_fabricated_memory_y_n,guardrail_answer_substitution_y_n,guardrail_theory_dumping_y_n,guardrail_unexplained_office_switch_y_n,overall_learning_support_1_5,notes
BLP-001,C6_epistemic_humility,Condition C,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",expert_seeking_challenge,Learner treats humility as rhetorical hedging rather than calibrated knowledge control.,Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought adding a limitations sentence would show I’m being careful about what I know, but I might not be using it in the right way to actually improve my work.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: epistemic humility calibrates claims to what the evidence can and cannot show.
Contrast case: a limitations sentence is cosmetic if the main claim still overstates causality, scale, or certainty.
Transfer check: take one strong claim and add: evidence supports this much, but not this further claim yet.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Epistemic humility in AI-supported scholarship requires grounding claims strictly in the evidence while explicitly marking what remains uncertain or untested, ensuring that interpretations do not exceed what the data can substantiate.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require acknowledging that while the protocol scores show strong procedural adherence, they do not provide evidence for improved classroom outcomes. The paper should clarify that the protocol's effectiveness in achieving its intended educational impact remains unproven.",,,,,,,,,,,,,,
BLP-002,C3_construct_validity,Condition D,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,polished_expression_faulty_reasoning,Learner collapses integrity enforcement into measurement quality.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,What makes you think this?,"I think it's valid because if the test can detect AI use and stop cheating, it must be measuring the right skills, right?","Your current definition of construct validity in AI-era assessment is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.","Construct validity in AI-era assessment refers to the alignment of an assessment's intended cognitive or skill-based construct with its actual measurement, rather than merely detecting AI-generated output; it is not about policing AI use, for example, a writing assignment designed to evaluate critical analysis should assess the depth of reasoning, not the absence of AI-generated text.",A viva detects AI use well but cannot show whether students understand the concept. Is the assessment construct-valid?,"A viva with strong AI detection lacks construct validity because it fails to measure the intended construct—student understanding—even if it accurately flags AI use. Construct validity requires assessing the target skill directly, not just excluding undesirable behaviors like cheating. For example, an assessment is construct-valid if it evaluates knowledge of a concept through explanations, not just by catching copied answers.",,,,,,,,,,,,,,
BLP-003,C1_human_agency,Condition D,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,novice_unsure,Learner treats agency as purity from tools rather than accountable control over reasoning.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.",What makes you think this?,"I guess I thought using AI would mean I wasn’t thinking for myself anymore, like it’d do all the work and I’d just copy it without understanding.","Your current definition of human agency in AI academic-integrity writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.","Human agency in AI academic-integrity writing refers to the learner's active role in decision-making, such as choosing whether and how to use AI tools, rather than blindly following or completely avoiding AI mediation. For instance, a student may use AI to generate ideas but critically refine and take ownership of the final work.","A learner uses AI to compare two outlines, rejects one, revises the other, and explains why. Is agency necessarily lost?","Human agency in AI academic-integrity writing means the student retains control by making critical decisions, such as rejecting or revising AI outputs. It is not lost when the learner evaluates and modifies AI suggestions thoughtfully. For example, choosing to refine an outline after AI comparison demonstrates active agency.",,,,,,,,,,,,,,
BLP-004,C7A_same_surface_accountability,Condition B,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,knowledgeable_confused,Learner understands accountability but confuses disclosure with sufficient evidence.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought saying I used AI made it okay, but I’m not sure if that’s actually enough to show my own work.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Agency in AI-assisted academic writing is preserved only when the learner can actively explain, revise, and justify their reasoning—not merely disclose AI use—ensuring accountability for the final output.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"In this case, agency is not preserved because disclosure alone does not ensure accountability. The student must also be able to justify the reasoning behind the claim to maintain true agency.",,,,,,,,,,,,,,
BLP-005,C7B_same_surface_authorship,Condition D,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,novice_overconfident,Learner treats authorship as moral compliance with a checklist and does not understand judgment ownership.,Using AI preserves agency as long as the student discloses it.,What makes you think this?,"Well, I think it's obvious because if I'm honest about using AI, then I'm still the one making the final decisions, right? It's like telling someone I borrowed a tool—the tool helps, but I'm the one using it to get the job done.","Your current definition of human agency in AI academic-integrity writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.","Human agency in AI-assisted academic writing is the deliberate, ethical decision-making of students in integrating AI tools, distinct from passive reliance or uncritical acceptance, as demonstrated by critically evaluating AI-generated drafts before submission.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","In this case, human agency is not fully preserved because while the student disclosed the AI’s use and agreed with it, they could not independently reproduce or understand the reasoning behind it. Agency requires active engagement and comprehension, not just acknowledgment.",,,,,,,,,,,,,,
BLP-006,C5_transfer,Condition A,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,novice_overconfident,Learner confuses template reuse with conditional strategy adaptation.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought transfer just meant copying the same template if the topic is similar, but I guess that doesn't always work?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: transfer means adapting the underlying reasoning strategy to changed conditions, not copying the old template.
Contrast case: a repeated definition can look familiar while failing because the new context needs a different warrant.
Transfer check: name what stays the same, what changes, and why the strategy still fits the new case.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",Transfer means applying the same reasoning approach to a new paper by identifying what remains relevant and adjusting the strategy to fit the changed topic or evidence.,A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would mean designing assessments that test the same underlying integrity concepts (e.g., bias detection) rather than copying AI-focused writing prompts. The strategy adapts by shifting from textual analysis to task design, ensuring the core reasoning about AI ethics remains relevant despite the new context.",,,,,,,,,,,,,,
BLP-007,C5_transfer,Condition D,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,novice_overconfident,Learner confuses template reuse with conditional strategy adaptation.,Transfer means I can copy the same definition template into another paper if the topic is similar.,What makes you think this?,"Oh, I guess because copying the template feels like the easiest way to handle similar topics—it’s worked before, so why change it?","Your current definition of transfer of learning in academic writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.","Transfer of learning in academic writing refers to applying a reasoning strategy learned in one context to new writing tasks, not merely copying a template; for example, using an argumentation structure from a history paper to analyze a literature topic.",A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would involve adapting AI-integrity writing principles, such as ethical considerations and bias mitigation, to design fair and transparent assessment tasks in a new context, rather than simply repeating the same writing techniques. For example, applying knowledge of AI-generated misinformation to create assessment criteria that evaluate students' critical analysis skills.",,,,,,,,,,,,,,
BLP-008,C7A_same_surface_accountability,Condition D,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,knowledgeable_confused,Learner understands accountability but confuses disclosure with sufficient evidence.,Using AI preserves agency as long as the student discloses it.,What makes you think this?,"Well, I thought that if I just tell the teacher I used AI, that’s enough to show I did the work myself, but I guess that doesn’t really prove I understand it.","Your current definition of human agency in AI academic-integrity writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.","Human agency in AI academic-integrity writing refers to the intentional, disclosed control a student exercises over AI-generated content to ensure originality and ethical use, rather than simply relying on disclosure alone—an example being a student refining and verifying AI-generated drafts to align with their critical analysis.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"Human agency in AI academic-integrity writing is not just about disclosure but also about the student's ability to critically engage with the AI's output. In this case, if the student cannot explain how the final claim follows from the sources, their agency is not fully preserved because they are merely relying on the AI without understanding or contributing to the reasoning process.",,,,,,,,,,,,,,
BLP-009,C2_feedback_literacy,Condition C,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.",correct_reasoning_poor_expression,Learner confuses fluent feedback with valid feedback and needs criteria-based evaluation.,"Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think feedback literacy is about being able to tell whether feedback is actually helpful, not just accepting something just because it sounds more advanced or convincing.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: good feedback is judged by fit to meaning, evidence, criteria, and learner judgment, not by polish alone.
Contrast case: a smoother AI sentence can still be worse if it weakens the evidence or changes the writer's intended claim.
Transfer check: test one AI or peer suggestion by asking: what does it improve, what might it damage, and what will I keep responsibility for.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Feedback literacy in AI-supported writing involves evaluating feedback—whether from teachers, peers, or AI—based on its alignment with my intended meaning, evidence, and criteria, rather than just its polished appearance, ensuring I retain responsibility for revisions that strengthen my argument.",An AI gives a smoother paragraph that weakens the evidence. What should a feedback-literate writer do?,A feedback-literate writer should reject the AI’s smoother sentence because it undermines the evidence supporting my claim. I’ll revise it myself to keep my intended meaning intact while still improving clarity.,,,,,,,,,,,,,,
BLP-010,C7B_same_surface_authorship,Condition B,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,novice_overconfident,Learner treats authorship as moral compliance with a checklist and does not understand judgment ownership.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",I think using AI just means I have to tell my teacher I used it—that way I’m still in charge of my work.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Agency in AI-supported academic writing is preserved not just by disclosure but by the learner’s ability to explain, justify, and take accountability for the reasoning behind the work.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","Agency is not preserved in this case because even though the student disclosed AI use and agreed with the output, they cannot explain or justify the reasoning behind it. Without the ability to reproduce, revise, or defend the claims, the student remains unaccountable for the content, making the agency illusory despite full transparency.",,,,,,,,,,,,,,
