source_id,source_name,custodian,version_or_edition,semantic_surface,coverage_role,source_state,preferred_machine_format,canonical_url,atlas_use,capability_effect,notes
SRC-DIO-META,DIO META Portfolio Atlas,DIO,2026-08-15,products/work-patterns/profiles/local vocabulary,DIO_LOCAL,PINNED_REFERENCE,XLSX,library:DIO_META_Portfolio_Atlas(1).xlsx,Canonical DIO portfolio crosswalk,NONE,"53 incarnations; 12 canonical work patterns; profile libraries. Learning label recorded as candidate extension."
SRC-ISIC5,International Standard Industrial Classification of All Economic Activities,United Nations Statistics Division,Rev. 5,economic activities,DOMAIN_FEDERATION,PINNED_REFERENCE,CSV,https://unstats.un.org/unsd/classifications/Econ/ISIC.cshtml,Industry/economic-activity domain hierarchy,NONE,"UN Statistical Commission endorsed Rev. 5 in 2023; structure available as CSV/Excel."
SRC-CPC3,Central Product Classification,United Nations Statistics Division,Ver. 3.0,goods and services,PRODUCT_SERVICE_FEDERATION,PINNED_REFERENCE,CSV,https://unstats.un.org/unsd/classifications/Econ/CPC.cshtml,Product/service artifact and market surface,NONE,"Operational classification adopted 2025; comprehensive products covering goods and services."
SRC-ISCO08,International Standard Classification of Occupations,International Labour Organization,ISCO-08,occupations/tasks/duties,OCCUPATION_FEDERATION,PINNED_REFERENCE,CSV,https://isco.ilo.org/en/isco-08/,Occupation hierarchy and task/duty anchors,NONE,"Covers all jobs in the world at standard level; 436 unit groups."
SRC-ESCO121,European Skills Competences Qualifications and Occupations,European Commission,1.2.1,occupations/skills/knowledge/relations,SKILL_OCCUPATION_THESAURUS,PINNED_REFERENCE,CSV,https://esco.ec.europa.eu/en/classification,Skill/knowledge/occupation thesaurus and relationship candidates,NONE,"Current version 1.2.1 last updated 2025-12-10; machine formats include CSV and JSON-LD."
SRC-ISCEDF13,ISCED Fields of Education and Training,UNESCO Institute for Statistics,ISCED-F 2013,fields of education/training,KNOWLEDGE_FIELD_FEDERATION,PINNED_REFERENCE,PDF,https://www.uis.unesco.org/en/methods-and-tools/isced,Education and training field hierarchy,NONE,"Global classification for fields of study; semantic knowledge only."
SRC-FORD15,Frascati Fields of Research and Development,OECD,2015 FORD,fields of research and development,RESEARCH_FIELD_FEDERATION,REFERENCED_NOT_INGESTED,PDF,https://www.oecd.org/sti/inno/frascati-manual.htm,Research/knowledge-domain anchors,NONE,"Use for R&D-field crosswalks; exact code ingestion is a later source adapter."
SRC-IPC202601,International Patent Classification,WIPO,2026.01,technology areas,TECHNOLOGY_FEDERATION,PINNED_REFERENCE,XML/CSV,https://www.wipo.int/en/web/classification-ipc,Technology-domain hierarchy and invention-artifact anchors,NONE,"Current in-force 2026.01 edition; authoritative master files downloadable."
SRC-ICD11,International Classification of Diseases 11th Revision,World Health Organization,ICD-11 2026 release,health/disease concepts,HEALTH_KNOWLEDGE_FEDERATION,REFERENCED_NOT_INGESTED,API,https://icd.who.int/,Health-domain vocabulary anchors,NONE,"Knowledge/terminology only. Never establishes medical competence or clinical authority."
SRC-AGROVOC,AGROVOC Multilingual Thesaurus,FAO,2026 rolling,agriculture/food/forestry/fisheries concepts,AGRI_KNOWLEDGE_FEDERATION,PINNED_REFERENCE,RDF/SKOS,https://agrovoc.fao.org/,Agriculture and food thesaurus/relationship anchors,NONE,"SKOS concept scheme; actively maintained."
SRC-COFOG99,Classification of the Functions of Government,United Nations Statistics Division,1999 current under revision,government functions,PUBLIC_FUNCTION_FEDERATION,PINNED_REFERENCE,RDF/HTML,https://unstats.un.org/unsd/classifications/cofog/revision,Government-function domain anchors,NONE,"Current classification has 10 divisions; revision underway with anticipated 2028 completion."
SRC-DIO-M1,DIO Metamorphic Registry,DIO,M1 verified 2026-08,execution-grade units/capabilities,EXECUTION_TRUTH,PINNED_REFERENCE,Python,metamorphic/registry.py,Exact earned capability identity and contracts,NONE,"ATLAS may project signatures from this source but may never broaden its execution truth."
SRC-DIO-M2,DIO Commercial Metabolism,DIO,M2 verified 2026-08,market evidence/negative learning/settlement,COMMERCIAL_TRUTH,PINNED_REFERENCE,Python,commercial_metabolism/,Context-bound pivot triggers and commercial evidence,NONE,"Negative learning may create held pivot hypotheses; it never creates capability or authority."
